Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,1024,32,16384,33554432,33570816,13.23211781680584,2537070.517718819,2.4183581527181883
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,1024,32,32768,33554432,33587200,15.02406567055732,2235559.983328672,2.1299161426530797
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,1024,32,65536,33554432,33619968,15.159036258856455,2217816.9789888854,2.1109521379569527
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,128,64,16384,1048576,1064960,19.77879238780588,53843.52993444506,3.2357890585604006
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,128,64,32768,1048576,1081344,22.343164641410112,48397.08328496454,2.8644107057862533
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,128,64,65536,1048576,1114112,26.372253242259223,42245.61283276066,2.4267930165878133
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,128,64,131072,1048576,1179648,30.0899201122423,39204.09212120347,2.1269581228951533
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,256,64,16384,4194304,4210688,28.627150961197913,147087.21820439943,2.2356398681359346
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,256,64,32768,4194304,4227072,18.145510752685368,232954.14814236807,3.527043182872579
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,256,64,65536,4194304,4259840,31.542485505963366,135050.86652713662,2.0290094129677976
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,256,64,131072,4194304,4325376,31.50189937526981,137305.24462901385,2.03162352966699
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,512,64,16384,16777216,16793600,17.69573013453434,949019.8975868322,3.616691682876647
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,512,64,32768,16777216,16809984,18.320909242145717,917530.0078082391,3.493276406433659
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,512,64,65536,16777216,16842752,26.10154083153854,645278.0741452961,2.451962526391112
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,512,64,131072,16777216,16908288,28.85773654157917,585918.7180407579,2.2177761553747195
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,128,128,1024,64,16384,67108864,67125248,18.54909788972388,3618787.738307592,3.450302563525514
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,256,256,1024,64,32768,67108864,67141632,23.193776729827125,2894812.3792903493,2.759360872767918
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,512,512,1024,64,65536,67108864,67174400,29.09990905597806,2308405.839715166,2.1993195881432603
Nvidia A100 GPU,1,vLLM,microsoft/Phi-3-vision-128k-instruct,1024,1024,1024,64,131072,67108864,67239936,32.472094966719546,2070699.0438687066,1.9709230360897014
