Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,128,64,16384,1048576,1064960,5.96743626644214,178461.8976140222,10.724873654688833
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,128,64,32768,1048576,1081344,4.800567000483473,225253.3919203911,13.33175851801557
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,128,64,65536,1048576,1114112,10.021195797560116,111175.55454522258,6.386463381504054
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,128,64,131072,1048576,1179648,12.438685491681099,94837.03087347452,5.145238220132081
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,256,64,16384,4194304,4210688,4.173291198288401,1008960.9854512278,15.335618091123964
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,256,64,32768,4194304,4227072,9.964937264410159,424194.5421068547,6.422519108933725
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,256,64,65536,4194304,4259840,12.078609850568077,352676.3470880428,5.298623003125643
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,256,64,131072,4194304,4325376,12.229231817026934,353691.55354285764,5.233362238737832
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,512,64,16384,16777216,16793600,13.243897053723535,1268025.5616513165,4.832414488000444
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,512,64,32768,16777216,16809984,11.080662290876111,1517055.8905889092,5.775828043482384
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,512,64,65536,16777216,16842752,15.044125535835823,1119556.7306241738,4.25415221692673
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,512,64,131072,16777216,16908288,16.81803667638451,1005366.341229486,3.8054382465384498
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,128,128,1024,64,16384,67108864,67125248,24.915229928369325,2694145.235383476,2.5687099891912872
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,256,256,1024,64,32768,67108864,67141632,26.736146066648264,2511268.147347353,2.393763104093606
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,512,512,1024,64,65536,67108864,67174400,27.23744340054691,2466252.027113939,2.349706580710689
Nvidia A100 GPU,1,vLLM,Qwen/Qwen2-VL-7B-Instruct,1024,1024,1024,64,131072,67108864,67239936,24.103087859228253,2789681.4048352777,2.655261449229484
