Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,1024,64,16384,67108864,67125248,5.504208376941581,12195259.227685383,11.627466770355388
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,1024,64,32768,67108864,67141632,6.732283018529415,9973085.180050299,9.506433378372737
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,1024,64,65536,67108864,67174400,7.276654773391783,9231494.7035324,8.795250289188642
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,1024,64,131072,67108864,67239936,15.338674354056517,4383686.259185593,4.17245966129233



Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,128,1,256,16384,16640,0.6653471225872636,25009.50170986511,1.5029748623717014
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,128,1,512,16384,16896,0.5228185571419696,32317.13903263757,1.9127094597915228
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,128,1,1024,16384,17408,0.6789471246302128,25639.699128973014,1.4728687459198653
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,128,1,2048,16384,18432,0.8552676934438447,21551.147250495567,1.1692245687117822
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,256,1,256,65536,65792,0.4655997928542395,141305.90479149294,2.1477672785671955
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,256,1,512,65536,66048,0.5297417022908727,124679.6310624118,1.88771243735483
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,256,1,1024,65536,66560,0.6024001071540018,110491.34820785171,1.6600262651420028
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,256,1,2048,65536,67584,0.759111273723344,89030.42589330692,1.3173299285823112
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,512,1,256,262144,262400,0.6945240531737605,377812.68884916656,1.4398349422605432
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,512,1,512,262144,262656,0.6967524085193872,376971.7862305625,1.435230058443601
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,512,1,1024,262144,263168,0.5581552631532153,471496.0466614101,1.7916161792520748
